date,spy_o,spy_h,spy_l,spy_c,barometer_o,barometer_h,barometer_l,barometer_c,barometer
2017-02-10,231.0,231.770004,230.619995,231.509995,0.9395773445921667,0.9113142292490118,0.939902982393101,0.9184333453108157,0.9273069753862738
2017-02-13,232.080002,233.070007,232.050003,232.770004,0.851104922745239,0.8442777578153072,0.8656687926697808,0.8626706791232482,0.8559305380883938
2017-02-14,232.559998,233.710007,232.160004,233.699997,0.8608515989938914,0.8415940531800216,0.8640293747754222,0.8584823032698528,0.856239332554797
2017-02-15,233.449997,235.139999,233.389999,234.919998,0.8358560905497664,0.6349487962630255,0.8456364534674812,0.6073594143011138,0.7309501886453467
2017-02-16,234.949997,235.160004,233.850006,234.720001,0.6120980057491916,0.5242319439453826,0.7052416457060726,0.7082397592526051,0.6374528386633129
2017-02-17,233.949997,235.089996,233.929993,235.089996,0.6993127919511319,0.6509387351778656,0.8315105102407474,0.8297812612288897,0.7528858246496586
2017-02-21,235.520004,236.690002,235.509995,236.490005,0.6242701221703197,0.6348365073661517,0.7340325188645347,0.7763654329859864,0.6923761453467481
2017-02-22,236.020004,236.539993,235.830002,236.279999,0.7520773445921667,0.7482819798778297,0.7991825368307582,0.7915132051742724,0.7727637666187568
2017-02-23,236.880005,236.899994,235.559998,236.440002,0.7836978979518505,0.7117319439453826,0.8248630075458139,0.8551697808120733,0.79386565756378
2017-02-24,235.460007,236.789993,235.410004,236.740005,0.7769381063600431,0.7653049766439095,0.9257658102766798,0.9239579590370104,0.8479917130794107
2017-02-27,236.639999,237.309998,236.350006,237.110001,0.8347781171397772,0.7843379446640316,0.8489602048149478,0.7837652712899749,0.8129603844771828
2017-02-28,236.669998,236.949997,236.020004,236.470001,0.7641484010061086,0.6523535752784765,0.7681234279554437,0.6530497664390945,0.7094187926697808
2017-03-01,238.389999,240.320007,238.369995,239.779999,0.7464292130794108,0.671307941070787,0.7782631153431548,0.7549743981315127,0.7377436669062163
2017-03-02,239.559998,239.570007,238.210007,238.270004,0.7468895975565936,0.7169309198706433,0.9273827703916637,0.8916749011857708,0.8207195472511677
2017-03-03,238.169998,238.610001,237.729996,238.419998,0.8624461013295005,0.8604810456342077,0.9443159360402443,0.9498068630973769,0.9042624865253324
2017-03-06,237.5,238.119995,237.009995,237.710007,0.8363726194753863,0.8265697987782967,0.8739893999281352,0.8825907294286741,0.8548806369026232
2017-03-07,237.360001,237.770004,236.759995,237.0,0.8784921846927776,0.8371586417535034,0.8836350161696012,0.8307244879626303,0.8575025826446281
2017-03-08,237.339996,237.639999,236.399994,236.559998,0.8256041142651814,0.7482370643190801,0.8266147143370464,0.7482370643190801,0.787173239310097
2017-03-09,236.699997,237.240005,235.740005,236.860001,0.7214000179662236,0.6728799856270212,0.7604316385195832,0.6529150197628459,0.7019066654689186
2017-03-10,237.970001,238.020004,236.589996,237.690002,0.7134162773984909,0.7002111031261229,0.7961956521739131,0.7695719547251167,0.7448487468559108
2017-03-13,237.619995,237.860001,237.240005,237.809998,0.6397210743801653,0.6368127919511319,0.7801607977003233,0.7612850341358247,0.7044949245418614
2017-03-14,237.179993,237.240005,236.190002,236.899994,0.7069596658282429,0.5522031081566654,0.7185703377650018,0.6202838663312972,0.6495042445203018
2017-03-15,237.559998,239.440002,237.289993,238.949997,0.6138160258713619,0.6052259252605102,0.7573998383039886,0.7343918433345311,0.6777084081925979
2017-03-16,239.110001,239.199997,238.100006,238.479996,0.7842144268774703,0.7804078332734459,0.8462652712899748,0.8181369026230687,0.80725610851599
2017-03-17,237.75,237.970001,237.029999,237.029999,0.8072785662953648,0.8076603485447359,0.8644223859144808,0.8159584980237155,0.8238299496945741
2017-03-20,237.029999,237.360001,236.320007,236.770004,0.6985604563420769,0.6972691340280273,0.8185186848724398,0.7727609593963349,0.7467773086597198
2017-03-21,237.470001,237.610001,233.580002,233.729996,0.8032473948975926,0.38171487603305776,0.8262778476464248,0.4295836327703917,0.6102059378368667
2017-03-22,233.770004,234.610001,233.050003,234.279999,0.3761790334171756,0.3504985627021201,0.5222107438016529,0.3707779374775422,0.4049165693496227
2017-03-23,234.279999,235.339996,233.600006,234.029999,0.40349892202659,0.3286471433704635,0.4481113007545814,0.33403701042040956,0.3785735941430111
2017-03-24,234.380005,235.039993,232.960007,233.860001,0.3652870104204097,0.2174586776859504,0.41632231404958675,0.37039615522817104,0.3423660393460295
2017-03-27,231.929993,233.919998,231.610001,233.619995,0.1773490837226015,0.15846209126841537,0.4869408012935681,0.4855371900826446,0.3270722915918074
2017-03-28,233.270004,235.809998,233.139999,235.320007,0.4758691160618038,0.4621586417535034,0.7046577434423285,0.6706342076895437,0.5783299272367948
2017-03-29,234.990005,235.809998,234.729996,235.539993,0.6504671218109953,0.6348814229249011,0.6777196370822853,0.6875,0.6626420454545454
2017-03-30,235.470001,236.520004,235.270004,236.289993,0.7092391304347826,0.6828512396694215,0.7850565936040245,0.6997394897592526,0.7192216133668703
2017-03-31,235.899994,236.509995,235.679993,235.740005,0.6834575997125405,0.5450390765361122,0.7171105821056414,0.586305246137262,0.6329781261228891
2017-04-03,235.800003,236.029999,233.910004,235.330002,0.5059737693136903,0.3643774703557312,0.5685074559827524,0.5666659180740208,0.5013811534315487
2017-04-04,235.0,235.580002,234.559998,235.479996,0.49941609773625584,0.4647300574919152,0.6640316205533596,0.647244430470715,0.5688555515630613
2017-04-05,236.259995,237.389999,234.539993,234.779999,0.614950143729788,0.4197920409629896,0.790053449514912,0.4142561983471075,0.5597629581386993
2017-04-06,234.940002,236.039993,234.429993,235.440002,0.43917310456342074,0.43177326625943224,0.6580690801293568,0.5456229787998563,0.5186596074380165
2017-04-07,235.149994,236.0,234.639999,235.199997,0.442451940352138,0.40407159540064674,0.5882141573841179,0.5506984369385555,0.49635903251886454
2017-04-10,235.360001,236.259995,234.729996,235.339996,0.5060860582105642,0.445405138339921,0.5531351060007187,0.4598454904779016,0.4911179482572764
2017-04-11,234.899994,235.179993,233.339996,235.059998,0.45497215235357524,0.35834755659360396,0.4663582464965864,0.41875898311174997,0.4246092346388789
2017-04-12,234.740005,234.960007,233.770004,234.029999,0.4296285483291412,0.3558210564139418,0.4355461731943946,0.37395571325907295,0.39873787279913764
2017-04-13,233.639999,234.490005,232.509995,232.509995,0.36367005030542576,0.3371361839741287,0.4022188286022278,0.348297700323392,0.36283069080129354
2017-04-17,233.110001,234.570007,232.880005,234.570007,0.2223095580309019,0.22223095580309016,0.31922610492274517,0.28133983111749905,0.26127661246855904
2017-04-18,233.720001,234.490005,233.080002,233.869995,0.2031418433345311,0.14478530362917708,0.2251841537908732,0.21495463528566294,0.19701648401006108
2017-04-19,234.520004,234.949997,233.179993,233.440002,0.24279105282069713,0.11399568810636007,0.23932132590729427,0.1234054976643909,0.1798783911246856
2017-04-20,234.149994,235.850006,233.779999,235.339996,0.13896873877111027,0.1129177146963708,0.18062791951131874,0.13501616960114982,0.1418826356449874
2017-04-21,235.25,235.309998,234.130005,234.589996,0.15446460653970528,0.07884926338483655,0.1535326086956521,0.10317103844771824,0.12250437926697805
2017-04-24,237.179993,237.410004,234.559998,237.169998,0.49076985267696727,0.4275512037369744,0.6798082105641394,0.6733291412145167,0.5678646020481495
2017-04-25,237.910004,238.949997,237.809998,238.550003,0.6433255479698168,0.5532810815666547,0.7183120733021918,0.6888250089831117,0.6509359279554437
